Episode,Text,Start,End
1,[introductory music playing],160.0,3189.0
1,L: Welcome to Lingthusiasm a podcast that's,3190.0,6759.0
1,enthusiastic about linguistics,6760.0,9218.0
1,I'm Lauren Gawne.,9219.0,11319.0
1,G: and I'm Gretchen McCulloch and today we're going to be talking about,11320.0,12399.0
1,universal language and why it doesn't work,12400.0,14829.0
1,but first a little bit about what Lingthusiasm is,14830.0,16899.0
1,L: So i guess the important,16900.0,19419.0
1,thing is to unpack 'a podcast that,19420.0,21339.0
1,enthusiastic about linguistics',21340.0,23979.0
1,G: yeah we chose our tagline because we're here to,23980.0,26979.0
1,explore interesting things that language,26980.0,29109.0
1,has to offer and especially what looking,29110.0,31419.0
1,at language from linguistics perspective,31420.0,33038.0
1,can tell us about how language works,33039.0,34689.0
1,L: both of its have blogs where we do a,34690.0,37808.0
1,fair amount of that but that's a fairly,37809.0,39428.0
1,solitary enterprise and we wanted to,39429.0,42218.0
1,take the opportunity to have more of a,42219.0,44018.0
1,conversation something that's a little,44019.0,45518.0
1,less disembodied,45519.0,48998.0
1,G: and we like that podcasts make you feel like part of a,48999.0,49808.0
1,conversation and there's a certain genre,49809.0,52029.0
1,of linguist conversation that we think,52030.0,53768.0
1,non-linguists don't get to listen in on,53769.0,55328.0
1,enough where we just are very excited,55329.0,57248.0
1,about all the things that happened in linguistics,57249.0,60308.0
1,L: and there's general kind of,60309.0,62558.0
1,nerdy and enthusiasm that you can,62559.0,65408.0
1,often get like a glimpse of this when,65409.0,66969.0
1,linguist interviews but the chance to,66970.0,69399.0
1,have a chat to another linguist is,69400.0,70719.0
1,something that we get to of a coffee but,70720.0,73659.0
1,we know people don't always get to hear,73660.0,75069.0
1,that perspective and so that's what this,75070.0,76659.0
1,podcast is all about,76660.0,78939.0
1,G: yeah so you can think of it as are sitting down over,78940.0,80289.0
1,coffee and talking about linguistics,80290.0,82149.0
1,[segment transtion music playing],82150.0,92379.0
1,G: one thing that often comes up when we're,92380.0,96158.0
1,talking about languages and linguistics,96159.0,98258.0
1,is wouldn't it be great if everyone just,98259.0,102038.0
1,spoke one language and there's two,102039.0,104379.0
1,things that come with that there's the,104380.0,106809.0
1,idea that could be feasible to make,106810.0,108489.0
1,everybody speak one language and if so,108490.0,110408.0
1,what should that language be and secondly is the,110409.0,112749.0
1,promise that we associate with what it,112750.0,116169.0
1,would even mean for everyone to speak the language even,116170.0,118118.0
1,if that is feasible so we're going to,118119.0,119709.0
1,kind of break down those two pieces,119710.0,121959.0
1,of the wish for everyone to speak,121960.0,124029.0
1,the language. What would that look like,124030.0,125288.0
1,and would it even work the way it's advertised,125289.0,127239.0
1,L: and it seems to be an idea,127240.0,129279.0
1,that people continue to revisit and,129280.0,131439.0
1,revisit in different forms and different,131440.0,133149.0
1,ideas that we're going to touch on a few,133150.0,134738.0
1,of those today but it's always this allure of,134739.0,136899.0
1,something that will be utopian or more,136900.0,139389.0
1,easier or if everyone just spoke the,139390.0,141399.0
1,same language then then they'd be world,141400.0,143229.0
1,peace because we'd all just get along,143230.0,144789.0
1,"G: yes, so preview",144790.0,146318.0
1,I'm not a fan of it. Ii'm on the record,146319.0,148449.0
1,have been called it the 'common language,148450.0,150068.0
1,equals piece fallacy' and I think it's,150069.0,152949.0
1,the seductive allure of like 'wouldn't be,152950.0,155708.0
1,greater if everyone just got along' like,155709.0,157689.0
1,the kind of Miss Universe wishing for,157690.0,159789.0
1,world peace thing I don't know that's,159790.0,162999.0
1,"the analogy I want, but yeah i'm not a fan of it",163000.0,165518.0
1,I think we're going to see why,165519.0,166929.0
1,L: this is definitely not like a debate style set up,166930.0,168909.0
1,today either i should happily say,168910.0,170919.0
1,that I agree and I'm perhaps more realistic,170920.0,173048.0
1,about the realities of humanity when,173049.0,176318.0
1,it comes to an idealistic concept like this,176319.0,178599.0
