Vowel,Word,Speaker,Number,Episode,Turn,Text,Text_Subset,Text_Caption,Start,End
i,beat,Gretchen,1,72,179,"Lauren, I feel like you're really emphasising the beat gestures in a very auditory way.",e really emphasising the beat gestures in a very a,really emphasizing the B gestures in a,1915140.0,1916879.0
i,beat,Gretchen,2,72,182,Vote for Lauren. She can't be beat.,for Lauren. She can't be beat.,can't be beat,1945740.0,1948979.0
i,beat,Gretchen,3,54,81,"This idea that grammar is a tool to beat people over the head with comes from this, 'Well, you've got to learn this language in school because this is how you're gonna access all these classical texts that you are supposed to access, and you need to do it a certain way because it's dead now, and it's not evolving, and so you're just learning to do this very particular thing,' that's where this additional connotation of grammar as a stick to beat people over the head with comes in.",hat grammar is a tool to beat people over the head,"G: This idea that grammar is a tool to beat people over the head with comes from this, 'Well, you've",1592960.0,1599279.0
i,beat,Gretchen,4,18,68,"And so you have your, like, duh-DUH beat, your iamb, with weak-strong --","have your, like, duh-DUH beat, your iamb, with wea","you have your, like, duh-DUH beat, your iamb, with weak-strong -- L: Yeah, even",802050.0,809479.0
i,beat,Gretchen,5,12,86,"Yeah, we make it into something like what we have. But another example is, so the sound /ɪ/ as in 'bit,' is not a sound that French has. So you'll have French speakers saying -- well, it kind of has it, but not really -- so if you have something like 'beat' versus 'bit,' for French speakers those are both just kind of 'beat.'","you have something like 'beat' versus 'bit,' for F","you have something like 'beat' versus 'bit,' for French speakers those are both just kind",896319.0,900698.0
i,beat,Lauren,1,22,208,Yep. I've already used the word 'proximal' in this episode so you're gonna beat me., episode so you're gonna beat me.,so you're gonna beat me.,1428490.0,1430789.0
i,beat,Lauren,2,72,178,"I'm gonna tell you the answer. But once I do, you will never unsee this. I just have to prepare you for that fact. There is something that everyone who gestures does all the time. It has a specific technical name. That is the repetition in a gesture to indicate duration or emphasis. This kind of repetition is known as a 'beat' gesture. You will absolutely see it in the most clearest manifestation if you watch a politician give a speech because they love to use them to give a sense of coherence to what they're saying. It's this magic thing. If you're giving a speech, here's a pro tip. You can use beat gestures. If you continue to use the same repetition on your stressed syllables -- I'm doing it now, but you can't see it.",epetition is known as a 'beat' gesture. You will a,repetition is known as a beat gesture,1886159.0,1888499.0
i,beat,Lauren,3,72,180,"I'm emphasising the beat gestures auditorily. But if you continue to do this gesture repetition, you can actually give the sense that everything you're saying alongside those gestures is the same topic or it's coherent even though it may not actually be so.",I'm emphasising the beat gestures auditorily.,beat dresses auditorily but if you,1919039.0,1921079.0
i,beat,Lauren,4,34,100,They're known in the gesture literature as 'beat gestures' because that movement is so rhythmic and observable.,e gesture literature as 'beat gestures' because th,L: They're known in the gesture literature as 'beat gestures' because that movement,1412200.0,1416129.0
i,beat,Lauren,5,34,102,"It makes sense in terms of the function because a beat gesture is often analysed as being used to emphasise the particular words that they occur with. The more [tears of joy] I send you, the funnier I find something. Or the more heart eyes emojis I send you, the more I completely love something.",f the function because a beat gesture is often ana,L: It makes sense in terms of the function because a beat gesture is often analysed as,1452059.0,1457268.0
