Episode,Turn,Speaker,Text
1,1,Lauren,Welcome to Lingthusiasm! A podcast that's enthusiastic about linguistics. I'm Lauren Gawne.
1,2,Gretchen,And I'm Gretchen McCulloch. And today we're going to be talking about universal language and why it doesn't work. But first a little bit about what Lingthusiasm is.
1,3,Lauren,So I guess the important thing is to unpack 'a podcast that's enthusiastic about linguistics'.
1,4,Gretchen,Yeah! We chose our tagline because we're here to explore interesting things that language has to offer and especially what looking at language from a linguistics perspective can tell us about how language works.
1,5,Lauren,"Both of us have blogs where we do a fair amount of that, but that's a fairly solitary enterprise and we wanted to take the opportunity to have more of a conversation -- something that's a little less disembodied"
1,6,Gretchen,"And we like that podcasts make you feel like part of a conversation. There's a certain genre of linguist conversation that we think non-linguists don't get to listen in on enough, where we just are very excited about all the things that happened in linguistics."
1,7,Lauren,And there's a general kind of nerdy enthusiasm that you can often get like a glimpse of this when linguists do interviews. But the chance to have a chat to another linguist -- it's something that we get to do often over coffee but we know people don't always get to hear that perspective and so that's what this podcast is all about.
1,8,Gretchen,"Yeah, so you can think of it as our sitting down over coffee and talking about linguistics. [Music]"
1,9,Gretchen,"One thing that often comes up when we're talking about languages and linguistics is, 'Wouldn't it be great if everyone just spoke one language?' And there's two things that come with that: there's the idea that could be feasible to make everybody speak one language and if so what should that language be? And secondly is the promise that we associate with it -- what it would even mean for everyone to speak the language even if that is feasible? So we're going to kind of break down those two pieces of the wish for everyone to speak one language. What would that look like and would it even work the way it's advertised?"
1,10,Lauren,"And it seems to be an idea that people continue to revisit, and revisit in different forms, and different ideas, and we're going to touch on a few of today. But it's always this allure of something utopian or easier -- if everyone just spoke the same language then then there'd be world peace because we'd all just get along."
1,11,Gretchen,"Yes! So, preview: I'm not a fan of it. I'm on the record as having called it the 'common language equals peace fallacy' and I think it's the seductive allure of like 'wouldn't be greater if everyone just got along?' Like the kind of Miss Universe wishing for world peace thing. I don't know that's the analogy I want, but yeah i'm not a fan of it. I think we're going to see why."
1,12,Lauren,This is definitely not a debate style set up today either. I should happily say that I agree and I'm perhaps more realistic about the realities of humanity when it comes to an idealistic concept like this.
1,13,Gretchen,it has given rise to some interesting stuff! So let's use it as an opportunity to talk about some of the interesting stuff that the wish for a common language has given us.
1,14,Lauren,"okay, definitely."
1,15,Gretchen,"one of the best-known endeavors to get everyone to speak a common language and lead to peace on Earth is Esperanto. And Esperanto is interesting because it's a conlang. So it was constructed to be a sort of neutral language that would supposedly be easy to learn and not reflective of any particular nationality, because it was created to be this independent things which wasn't like learning a language associated with a particular country. The idea being that everyone can understand each other and living in peace and harmony. And there's a couple of issues with different parts of this. For one, Esperanto is not totally neutral. It borrows a lot of words from various European languages and so it's a lot easier to learn for people who already speak a European language than for people who speak a language that's not European. So it's not easy for everyone to learn, it's easy for a particular group of people to learn."
1,16,Lauren,So I've seen bits of Esperanto and I immediately think of French that's being fed through some kind of Italian filter and then Spanish-ified. It definitely has a strong Romance language kind of vibe to it.
1,17,Gretchen,it has a Romance kind of look because it tends to have this kind of consonant vowel sequences like Romance languages do. But actually it also does have a lot of words from Slavic languages and from Germanic languages as well. So like the Esperanto word for dog is something like 'hundo' which is a Germanic word like 'hound' -- it's not something like 'chien' or something like that.
1,18,Lauren,the only Esperanto word I know is the word 'hotdogo' which is the Esperanto word for hotdog. It's not 'hot hundo' or whatever it is -- 'hotdogo' is my one piece of Esperanto.
1,19,Gretchen,"but the Esperanto word that I remember the best is 'kai' K-A-I, which is the word for 'and'."
1,20,Lauren,yeah
1,21,Gretchen,"so again you can see that's not very, Romance sounding because it's not 'et' or some vowel-y thing and it's not even Germanic because it's not 'and' or 'und'. 'Kai' is actually from Greek. Zamenhof, who's the guy who created Esperanto, did try to draw on multiple languages so 'kai' comes from Greek. I guess my personal story with Esperanto is I tried learning it when I was like 12."
1,22,Lauren,I am so not surprised.
1,23,Gretchen,"because I was that kid. I tried learning it when I was like 12 because I encountered this book about it on a bookshelf. This was back before i was really using the internet very much and I encountered a paperback book about Esperanto and I was like 'oh yeah I'm going to read this because I'd like to see someone like you know putting out the arguments for and against.' And it turned out it was not a pros and cons book it was literally a grammar or like a 'teach yourself Esperanto' book so I was like 'okay, fine' i can't read the pros and cons maybe I'll just learn it."
1,24,Lauren,impeccable logic.
1,25,Gretchen,this is what 12 year old Gretchen did when she was encountering a language. And so I got through chapter 1 which is how i learned the word for 'and' and 'dog' and then I got to chapter 2 and I learned that all of the feminine forms were diminutive of the masculine forms.
1,26,Lauren,ugh
1,27,Gretchen,so the word for men is like 'homo' or something like Homo sapiens. And then the word for woman is 'homino' (
1,28,Lauren,"boo) which is '-in' like the German -in suffix. Like in German you have Sprachwissenschaftler which is a linguist, i.e. speech scientist and you have Sprachwissenschaftlerin which is a female speech scientist."
1,29,Lauren,I'm all ready to blow things up. So much for a language of peace.
1,30,Gretchen,"yeah so first of all maybe this language is peaceful but it's going to be a sexist peace so I'm not sure if I'm into it. In fact, I know I'm not into it."
1,31,Lauren,"yeah, fair enough."
1,32,Gretchen,"and secondly this just seems uneconomical. Because as anybody who has spoken Spanish or something knows, sometimes you really do want to be able to distinguish between a group that's gender mixed or gender neutral and a group that is specifically only a plural of males. So in Spanish you have a word like 'niño' which can mean 'boy' or 'child' whereas 'niña' means 'girl' -- but 'niños' can mean either 'boys' or 'children' so you have to do like extra stuff you want to talk about a group of boys specifically. So it's kind of uneconomical from a linguistic perspective to have your neutral word and your masculine word be the same word. Because this is genuinely a semantic distinction that's useful to be able to make and Esperanto just can't do it."
1,33,Lauren,right
1,34,Gretchen,"so it's a terrible language for a bunch of reasons and the the main reason that I stopped when I was 12, which I think was a great decision on my part, was that it was sexist."
1,35,Lauren,So Zamenhof was like a complete idealist.
1,36,Gretchen,he was a big idealist. The name Esperanto itself means 'one who hopes' and this was his pseudonym -- Dr. Esperanto. So he was really hoping for kind of world peace and world understanding which is very nice. I think maybe because of his political ideals -- that was really why people did manage to learn Esperanto. And it is one of the more successful common languages -- according to Wikipedia up to two million people worldwide to varying degrees speak Esperanto.
1,37,Lauren,but is that just people like me who go 'hotdogs! yes!'?
1,38,Gretchen,"yeah, so I don't know if you and I count because we know a few words of Esperanto, or if you have to be like a more dedicated enthusiasts. Some people have raised their children speaking Esperanto -- so as far as common languages go, it's had some success. But I've also heard that as a conlang it's not considered a very good conlang. So if you talk to conlangers, and I know a few conlangers, there is the kind of 'everyone's first conlang' which is pseudo-European everything combined, that still inherits a lot of the illogicalities of European languages. That's what this is. So that's like a stage 1 conlang and then a stage 2 conlang is when you learn about all the other stuff other languages do and you try to make a language that does all of them."
1,39,Lauren,it has 48 cases and clicks and evidentials...
1,40,Gretchen,"yeah, and ergativity and it just does every single weird thing you can imagine from a language -- like too many of them, so it's ridiculously complex. And then by the time you get to your third conlang you've learned the value of restraint and you can really make a good conlang. This is what I've been told. So apparently Esperanto has all of the marks of a first conlang."
1,41,Lauren,"The story I like the most about Esperanto, and its optimistic naivety, was that there were a whole bunch of people in commerce who were like 'Esperanto. Great idea. Universal language. Just tone down the optimism of world peace because it would be really great as like a commercial thing if we could have international trade through this unified language""."
1,42,Gretchen,so world capitalism instead of world peace.
1,43,Lauren,basically. And they got so fed up they broke off and created this language called 'Ido' which I think means like 'daughter' or 'child' language -- and then basically it fell apart because they failed to maintain the drive
1,44,Gretchen,they were insufficiently peaceful.
1,45,Lauren,they were insufficiently peaceful. Maybe there is a kernel there -- Esperanto selling itself is the universal language of peace seems to have done a lot for its longevity.
1,46,Gretchen,"I kind of think of Esperanto and people who learn Esperanto is kind of like couch surfers -- you know, people who joined like the couch surfing web site and they meet people from around the world and they like sleep on each other's couches and they really do like having experiences that are like connected to the local community -- and I think that's very nice, it's just a pity that they're doing it with such a terrible language."
1,47,Lauren,"Another language with someone tried to capture this idea of universal communication but from a completely different perspective was Blissymbols or Blissymbolics -- which were invented by a guy his name was Charles Bliss. But this was a name he gave himself because he was Carl Blitz and that didn't go down so well. He was Jewish and was interned in the Nazi camps. After he escaped the war, he moved to Shanghai he changed his name to 'Bliss' because 'Blitz' wasn't the the best for a former German prisoner."
1,48,Gretchen,was he also emphasizing this hope aspect.
